time	V(n002)	V(n005)	I(C3)
1.992406306861829e-008	3.893808e-001	8.796847e-001	1.573298e-002
1.992706306861829e-008	3.761250e-001	8.646846e-001	1.778214e-002
1.992849164004686e-008	3.698916e-001	8.575418e-001	1.884034e-002
1.992992021147544e-008	3.637080e-001	8.503989e-001	1.987688e-002
1.993134878290401e-008	3.575742e-001	8.432561e-001	2.089176e-002
1.993277735433259e-008	3.514901e-001	8.361132e-001	2.188499e-002
1.993420592576116e-008	3.454559e-001	8.289704e-001	2.285656e-002
1.993563449718973e-008	3.394714e-001	8.218275e-001	2.380647e-002
1.993706306861830e-008	3.335367e-001	8.146846e-001	2.473472e-002
1.994006306861831e-008	3.212039e-001	7.996846e-001	2.643699e-002
1.994306306861831e-008	3.090343e-001	7.846847e-001	2.786655e-002
1.994549164004688e-008	2.993091e-001	7.725418e-001	2.877738e-002
1.994792021147546e-008	2.896298e-001	7.603989e-001	2.957196e-002
1.995034878290403e-008	2.799966e-001	7.482561e-001	3.025028e-002
1.995277735433261e-008	2.704094e-001	7.361132e-001	3.081234e-002
1.995520592576118e-008	2.608682e-001	7.239704e-001	3.125815e-002
1.995763449718976e-008	2.513730e-001	7.118275e-001	3.158771e-002
1.996006306861833e-008	2.419238e-001	6.996847e-001	3.180102e-002
1.996449164004690e-008	2.247204e-001	6.775418e-001	3.207499e-002
1.996892021147548e-008	2.075335e-001	6.553989e-001	3.229976e-002
1.997334878290406e-008	1.903633e-001	6.332561e-001	3.247531e-002
1.997777735433264e-008	1.732096e-001	6.111132e-001	3.260164e-002
1.998220592576121e-008	1.560725e-001	5.889703e-001	3.267876e-002
1.998663449718979e-008	1.389520e-001	5.668275e-001	3.270666e-002
1.999106306861836e-008	1.218481e-001	5.446846e-001	3.268535e-002
2.000000000000000e-008	8.731010e-002	5.000000e-001	3.270901e-002
2.000010000000000e-008	8.739121e-002	5.000000e-001	2.647520e-002
2.000030000000000e-008	8.755341e-002	5.000000e-001	2.335825e-002
2.007450000000008e-008	1.476745e-001	5.000000e-001	2.329924e-002
2.009350000000010e-008	1.631059e-001	5.000000e-001	2.330355e-002
2.011250000000013e-008	1.784454e-001	5.000000e-001	2.325462e-002
2.013150000000015e-008	1.936932e-001	5.000000e-001	2.315247e-002
2.015050000000017e-008	2.088491e-001	5.000000e-001	2.299708e-002
